,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
48,Lithuanian,lietuvių,lt,211050,517835,6972533,10,176420,380,24934,28
49,Galician,galego,gl,197088,496389,6412390,8,136322,308,27,29
50,Azerbaijani,azərbaycanca,az,194729,534240,7068640,16,271422,661,20011,40
51,Urdu,اردو,ur,191733,1041428,5404252,10,164396,284,14141,101
52,Slovenian,slovenščina,sl,181453,458476,6034122,21,222798,378,8425,30
53,Georgian,ქართული,ka,168285,473530,4519059,6,151406,231,15114,31
54,Ladin,Ladin,lld,167776,173387,217735,3,3911,29,3,0
55,Norwegian Nynorsk,norsk nynorsk,nn,165722,380383,3479733,14,128500,139,16,15
56,Hindi,हिन्दी,hi,157365,1258394,5874239,6,764420,1150,3836,228
57,Thai,ไทย,th,156899,1031615,10798875,19,450601,1132,26401,325
58,Tamil,தமிழ்,ta,154553,490317,3729338,35,220356,272,8043,35
59,Bangla,বাংলা,bn,138769,1174445,6697492,14,422673,1087,16509,317
60,Latin,Latina,la,137884,278604,3765681,17,168772,164,0,14
61,Macedonian,македонски,mk,136608,540865,4981211,12,109624,238,8744,80
62,Cantonese,粵語,zh-yue,132915,299192,1996323,12,257509,305,2665,10
63,Asturian,asturianu,ast,132750,235904,3978553,8,114609,113,0,10
64,Latvian,latviešu,lv,120750,489599,3862992,14,115013,280,25751,73
65,Tajik,тоҷикӣ,tg,109780,267264,1350817,6,39274,84,496,10
66,Afrikaans,Afrikaans,af,108439,380398,2576339,13,163413,186,9666,42
67,Burmese,မြန်မာဘာသာ,my,106687,230472,795741,4,111779,146,2967,4
68,Malagasy,Malagasy,mg,95632,246676,1056471,3,30819,51,3,10
69,Marathi,मराठी,mr,92615,298071,2289503,10,154514,167,11717,37
70,Bosnian,bosanski,bs,92122,372834,3515701,9,152942,177,5497,87
71,Albanian,shqip,sq,90682,277736,2557333,11,152723,278,4018,39
72,Occitan,occitan,oc,88842,159601,2368317,4,51501,106,822,9
73,Low German,Plattdüütsch,nds,84211,165268,996411,4,51392,51,0,5
74,Malayalam,മലയാളം,ml,83768,509092,3846740,15,172099,238,7101,194
75,Telugu,తెలుగు,te,83575,325919,3874808,13,121639,188,14158,99
76,Belarusian (Taraškievica orthography),беларуская (тарашкевіца),be-tarask,83171,237932,2400055,4,80757,137,1987,34
77,Breton,brezhoneg,br,80546,151426,2046518,6,74492,94,5278,10
78,Kyrgyz,кыргызча,ky,80348,110526,445307,2,36513,72,2686,0
79,Swahili,Kiswahili,sw,78125,165056,1287202,18,61311,170,2287,9
80,Javanese,Jawa,jv,72515,182231,1631493,5,57855,105,5452,20
81,Newari,नेपाल भाषा,new,72348,166269,866008,2,26380,14,0,8
82,Lombard,lombard,lmo,71366,142534,1193203,5,40572,75,4436,8
83,Western Punjabi,پنجابی,pnb,70608,123602,628852,2,35134,64,83,2
84,Venetian,vèneto,vec,69181,141379,1114926,4,34054,59,724,8
85,Haitian Creole,Kreyòl ayisyen,ht,68468,83762,821751,3,30717,45,0,0
86,Piedmontese,Piemontèis,pms,67899,103458,866596,4,26561,49,2069,2
87,Bashkir,башҡортса,ba,62986,177316,1243392,7,38214,88,1504,23
88,Luxembourgish,Lëtzebuergesch,lb,61812,134722,2452495,6,58239,79,2386,25
89,Sundanese,Sunda,su,61528,97954,657073,6,29978,57,545,2
90,Kurdish,kurdî,ku,59318,117841,1179634,3,55828,110,564,9
91,Irish,Gaeilge,ga,58638,100185,1153605,7,56543,81,1160,5
92,Silesian,ślůnski,szl,57084,72450,363992,3,23343,39,0,0
93,Icelandic,íslenska,is,56805,147196,1807285,19,91936,137,3194,31
94,Western Frisian,Frysk,fy,51585,157905,1124504,8,46160,67,7745,30
95,Chuvash,чӑвашла,cv,51189,103878,793041,2,33086,52,537,8
96,Punjabi,ਪੰਜਾਬੀ,pa,50479,160862,689422,10,45914,122,1818,20
97,Central Kurdish,کوردی,ckb,50157,206842,1085436,8,56793,164,2037,51
98,Tagalog,Tagalog,tl,44524,238363,2022392,11,132718,162,1896,160
99,Aragonese,aragonés,an,43827,134889,2019683,6,72903,88,1570,64
100,Wu Chinese,吴语,wuu,42866,57160,303567,4,83110,54,132,0
101,Zazaki,Zazaki,diq,40734,61631,521194,3,26621,30,199,2
102,Ido,Ido,io,37815,55978,1017744,5,35858,55,0,4
103,Scots,Scots,sco,36149,140468,874536,3,103254,88,671,51
104,Volapük,Volapük,vo,33807,150084,3286837,2,33930,33,0,259
105,Yoruba,Yorùbá,yo,32668,56585,566362,3,26820,65,166,5
106,Nepali,नेपाली,ne,31800,106999,1144766,6,62919,97,1294,59
107,Interlingua,interlingua,ia,30283,45014,656392,6,47616,45,4,3
108,Gujarati,ગુજરાતી,gu,30192,123517,846534,3,74023,65,0,65
109,Kannada,ಕನ್ನಡ,kn,30054,134830,1167700,4,81415,114,2315,105
110,Swiss German,Alemannisch,als,29822,71851,1033928,9,98340,98,580,28
111,Kotava,Kotava,avk,27728,33799,137650,6,4172,31,0,0
112,Hausa,Hausa,ha,27403,47218,270217,7,22878,207,0,2
113,Bavarian,Boarisch,bar,26915,109340,836684,3,66832,53,1321,71
114,Sicilian,sicilianu,scn,26244,55886,736029,3,43308,52,1406,16
115,Crimean Tatar,qırımtatarca,crh,25898,47478,205799,2,19450,38,0,3
116,Bishnupriya,বিষ্ণুপ্রিয়া মণিপুরী,bpy,25089,63283,890912,2,24481,20,45,32
117,Quechua,Runa Simi,qu,23751,57123,657660,2,28675,42,0,22
118,Navajo,Diné bizaad,nv,22262,36811,305325,2,16340,19,735,3
119,Mongolian,монгол,mn,22167,99979,730729,3,84372,104,1362,90
120,Mingrelian,მარგალური,xmf,20223,37346,200370,5,18388,30,0,3
121,Balinese,Basa Bali,ban,19472,38281,155867,4,7283,45,116,3
122,Sinhala,සිංහල,si,19230,89601,559270,3,63426,92,3000,83
123,Pashto,پښتو,ps,17720,60220,296960,1,30381,54,1738,28
124,Northern Frisian,Nordfriisk,frr,17432,44375,249499,4,19191,30,1491,13
125,Samogitian,žemaitėška,bat-smg,17165,29733,359246,4,25172,32,109,6
126,Ossetic,ирон,os,17074,63319,537496,3,23761,26,158,62
127,Odia,ଓଡ଼ିଆ,or,16857,74949,485276,6,33474,48,176,76
128,Yakut,саха тыла,sah,16642,50062,397211,3,23799,54,1765,31
129,Min Dong Chinese,閩東語 / Mìng-dĕ̤ng-ngṳ̄,cdo,16283,32776,99573,4,20352,33,0,3
130,Igbo,Igbo,ig,16191,23954,114630,4,16409,94,0,1
131,Mazanderani,مازِرونی,mzn,16030,35063,178577,4,33660,37,262,7
132,Scottish Gaelic,Gàidhlig,gd,15935,32225,573076,5,27063,31,347,18
133,Buginese,ᨅᨔ ᨕᨘᨁᨗ,bug,15825,20096,202096,1,12982,12,0,0
134,Yiddish,ייִדיש,yi,15515,44418,587366,3,48625,64,1062,45
135,Sindhi,سنڌي,sd,15464,56858,243733,4,17121,30,149,30
136,Iloko,Ilokano,ilo,15379,70265,399104,2,16960,20,0,72
137,Amharic,አማርኛ,am,15203,46182,375979,1,43523,50,1780,33
138,Tumbuka,chiTumbuka,tum,14898,31780,89298,3,7805,25,86,3
139,Neapolitan,Napulitano,nap,14778,23849,666589,3,29234,41,287,10
140,Limburgish,Limburgs,li,14380,66530,459801,7,27920,43,623,90
141,Faroese,føroyskt,fo,13961,40591,372620,3,28609,34,0,33
142,Gorontalo,Bahasa Hulontalo,gor,13904,21845,52606,2,4805,27,0,0
143,Upper Sorbian,hornjoserbsce,hsb,13899,35537,381203,4,24196,32,129,25
144,Basa Banyumasan,Basa Banyumasan,map-bms,13886,30354,214469,1,15736,21,462,9
145,Central Bikol,Bikol Central,bcl,13812,38779,250052,2,21584,37,865,21
146,Maithili,मैथिली,mai,13759,40632,234329,5,12967,25,116,21
147,Shan,ၽႃႇသႃႇတႆး,shn,13121,30591,60827,2,3833,19,62,3
148,Emiliano-Romagnolo,emiliàn e rumagnòl,eml,13036,35245,155127,3,24866,33,2744,12
149,Achinese,Acèh,ace,12737,26762,145133,3,25831,27,0,6
150,Literary Chinese,文言,zh-classical,12462,102070,391937,5,98274,60,0,198
151,Sanskrit,संस्कृतम्,sa,12057,73205,477613,3,37680,44,445,167
152,Assamese,অসমীয়া,as,11856,86725,368960,5,37752,103,1778,169
153,Walloon,walon,wa,11805,27979,395591,4,23504,22,632,26
154,Interlingue,Interlingue,ie,11674,15631,155255,2,18453,35,0,1
155,Ligurian,Ligure,lij,11140,26926,240915,7,15520,30,9,17
156,Zulu,isiZulu,zu,11015,24665,101696,1,19318,41,0,6
157,Eastern Mari,олык марий,mhr,10933,28555,190185,1,13892,27,0,17
158,Western Armenian,Արեւմտահայերէն,hyw,10783,22772,200982,5,8850,40,0,10
159,Fiji Hindi,Fiji Hindi,hif,10764,45585,294663,4,31795,40,192,67
160,Shona,chiShona,sn,10603,19356,106862,1,16762,27,0,3
161,Western Mari,кырык мары,mrj,10432,19362,103605,1,10502,18,0,3
162,Banjar,Banjar,bjn,10285,29367,87979,3,13630,35,2,10
163,Manipuri,ꯃꯤꯇꯩ ꯂꯣꯟ,mni,10222,16435,50800,2,3293,15,0,1
164,Khmer,ភាសាខ្មែរ,km,10171,34545,297297,5,39506,74,1035,49
165,Hakka Chinese,客家語/Hak-kâ-ngî,hak,10086,19400,127114,1,31724,32,0,5
166,Somali,Soomaaliga,so,9520,26713,253481,1,35243,88,0,30
167,Tarantino,tarandíne,roa-tara,9321,18083,144999,3,11270,22,177,7
168,Pampanga,Kapampangan,pam,8912,21535,296542,2,20344,26,403,27
169,Rusyn,русиньскый,rue,8666,18924,137193,1,27684,40,87,10
170,Northern Sotho,Sesotho sa Leboa,nso,8549,10853,50333,1,6422,14,0,0
171,Bhojpuri,भोजपुरी,bh,8466,73362,755717,2,32621,55,53,605
172,Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat,8434,19101,115107,3,6784,41,0,9
173,Northern Sami,davvisámegiella,se,7842,20931,302163,5,27772,26,0,40
174,Māori,Māori,mi,7817,14525,162519,2,17925,23,0,8
175,Erzya,эрзянь,myv,7804,28160,143675,4,12495,24,0,34
176,West Flemish,West-Vlams,vls,7783,21618,312522,5,25957,27,480,45
177,Low Saxon,Nedersaksies,nds-nl,7684,20702,323653,6,27219,33,569,44
178,Sardinian,sardu,sc,7404,16756,180166,4,23489,33,151,17
179,Dagbani,dagbanli,dag,7023,11612,67278,1,2842,47,0,2
180,Cornish,kernowek,kw,7021,14372,211519,2,14801,31,6,16
181,Veps,vepsän kel’,vep,6868,33511,160439,1,15245,29,0,72
182,Gilaki,گیلکی,glk,6816,14307,64615,4,15228,19,808,5
183,Moroccan Arabic,الدارجة,ary,6766,57251,281656,7,9606,71,122,273
184,Turkmen,Türkmençe,tk,6715,16404,240212,3,26846,41,337,30
185,Kabyle,Taqbaylit,kab,6695,16358,107968,2,12954,24,0,13
186,Corsican,corsu,co,6653,15341,384702,2,21296,34,0,42
187,Gan Chinese,贛語,gan,6639,33760,395897,1,40286,16,57,195
188,Tibetan,བོད་ཡིག,bo,6624,18245,141572,1,28269,24,0,23
189,Võro,võro,fiu-vro,6508,12362,178892,4,13857,28,50,11
190,Kinyarwanda,Ikinyarwanda,rw,6481,13854,96227,1,12314,36,0,8
191,Abkhazian,аԥсшәа,ab,6084,22047,126499,2,19101,20,9,39
192,Manx,Gaelg,gv,5960,23895,319603,3,19355,20,184,121
193,Uyghur,ئۇيغۇرچە / Uyghurche,ug,5872,15427,157452,1,21162,34,0,27
194,Nāhuatl,Nāhuatl,nah,5800,17271,519291,3,21726,29,168,117
195,Zeelandic,Zeêuws,zea,5736,10786,129310,3,12772,25,1,9
196,Saraiki,سرائیکی,skr,5722,6602,29045,2,1912,15,0,0
197,Arpitan,arpetan,frp,5674,16243,220005,2,15744,28,0,46
198,Udmurt,удмурт,udm,5664,18607,123797,3,14600,25,9,34
199,Picard,Picard,pcd,5539,10740,69872,3,16884,26,50,5
200,Komi,коми,kv,5508,17433,141937,1,14014,23,0,38
201,Kashubian,kaszëbsczi,csb,5452,8760,187583,3,16252,22,0,7
202,Maltese,Malti,mt,5433,20092,290921,5,21617,40,723,105
203,Guarani,Avañe'ẽ,gn,5300,12597,125827,2,17775,39,0,18
204,Inari Sami,anarâškielâ,smn,5114,17061,84936,7,3259,23,0,27
205,Aymara,Aymar aru,ay,5081,8726,96178,1,16152,23,0,5
206,Norman,Nouormand,nrm,4848,10416,219651,2,12968,18,0,27
207,Kashmiri,कॉशुर / کٲشُر,ks,4382,12827,80618,2,10239,16,12,23
208,Lezghian,лезги,lez,4322,13748,92263,3,10414,23,10,31
209,Lingua Franca Nova,Lingua Franca Nova,lfn,4207,6734,38944,1,10880,32,0,2
210,Mirandese,Mirandés,mwl,4157,10575,100186,1,12832,21,0,22
211,Livvi-Karelian,livvinkarjala,olo,4156,11586,33947,2,6592,15,0,9
212,Saterland Frisian,Seeltersk,stq,4094,10753,122132,5,13063,19,429,30
213,Lao,ລາວ,lo,4002,13523,101415,3,17419,33,0,42
214,Old English,Ænglisc,ang,3954,17097,209290,2,122179,47,299,135
215,Friulian,furlan,fur,3850,8857,171899,2,13936,17,318,32
216,Romansh,rumantsch,rm,3761,9625,164162,3,19547,24,51,41
217,Ladino,Ladino,lad,3627,13005,210945,4,20655,29,23,108
218,Moksha,мокшень,mdf,3581,15213,72990,3,9118,21,0,50
219,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,gom,3576,9382,211177,4,9683,14,0,59
220,Extremaduran,estremeñu,ext,3502,8169,124614,2,16912,23,0,27
221,Tuvinian,тыва дыл,tyv,3451,11927,44705,1,8742,18,0,22
222,Komi-Permyak,перем коми,koi,3443,11623,61001,1,8337,14,0,29
223,Kara-Kalpak,Qaraqalpaqsha,kaa,3360,9679,61994,5,11389,37,23,22
224,Lower Sorbian,dolnoserbski,dsb,3345,11244,143964,1,18035,23,0,71
225,Avaric,авар,av,3338,15976,86899,1,14292,28,0,77
226,Lingala,lingála,ln,3331,8721,122761,4,12658,14,32,36
227,Doteli,डोटेली,dty,3327,19866,238709,3,6081,16,3,296
228,Papiamento,Papiamentu,pap,3308,6741,100862,5,14205,21,0,16
229,Twi,Twi,tw,3201,6557,110552,2,14974,66,0,18
230,Chavacano,Chavacano de Zamboanga,cbk-zam,3103,8262,112763,1,14120,14,0,37
231,Divehi,ދިވެހިބަސް,dv,3030,11465,130778,4,24433,14,932,88
232,Colognian,Ripoarisch,ksh,2938,10586,1607545,3,22226,21,0,1029
233,Gagauz,Gagauz,gag,2803,6610,68369,1,13606,21,0,19
234,Russia Buriat,буряад,bxr,2773,11087,70476,1,14754,17,9,57
235,Palatine German,Pälzisch,pfl,2743,6929,90436,4,11417,10,0,30
236,Ganda,Luganda,lg,2709,6761,30102,2,7952,20,0,9
237,Zhuang,Vahcuengh,za,2600,4980,40986,2,10348,18,0,6
238,Pali,पालि,pi,2548,4655,101981,2,7051,10,1,14
239,Sakizaya,Sakizaya,szy,2534,5587,131632,1,2712,16,0,34
240,Pangasinan,Pangasinan,pag,2522,6532,76144,1,8015,13,0,29
241,Hawaiian,Hawaiʻi,haw,2502,5618,97437,1,16299,20,0,26
242,Tayal,Tayal,tay,2468,2939,54912,1,1482,9,0,0
243,Awadhi,अवधी,awa,2435,5566,25191,2,2464,9,0,7
244,Pa'O,ပအိုဝ်ႏဘာႏသာႏ,blk,2422,5859,26615,3,928,22,0,9
245,Ingush,гӀалгӀай,inh,2178,13366,62716,2,3894,20,43,123
246,Karachay-Balkar,къарачай-малкъар,krc,2098,14387,107390,1,10173,19,0,256
247,Kalmyk,хальмг,xal,2049,12186,88744,1,9815,13,0,178
248,Pennsylvania German,Deitsch,pdc,2016,5941,105704,1,32083,23,0,67
249,Tongan,lea faka-Tonga,to,1971,5427,42742,2,9978,14,12,24
250,Atikamekw,Atikamekw,atj,1955,3076,15114,5,4170,10,0,1
251,Aramaic,ܐܪܡܝܐ,arc,1886,6492,95746,2,19812,17,0,87
252,Tulu,ತುಳು,tcy,1884,10065,110240,3,5475,19,9,206
253,Mon,ဘာသာ မန်,mnw,1795,6297,40522,4,3245,18,0,40
254,Jamaican Creole English,Patois,jam,1706,3064,21107,1,8101,19,0,4
255,Kabiye,Kabɩyɛ,kbp,1697,3374,16450,2,4302,11,0,4
256,Wolof,Wolof,wo,1668,5412,105108,3,14708,17,0,97
257,Angika,अंगिका,anp,1631,4591,18679,2,568,12,0,13
258,Kabardian,адыгэбзэ,kbd,1606,6919,46329,1,9628,20,0,73
259,Nias,Li Niha,nia,1569,3842,20319,3,1572,9,0,11
260,Tachelhit,Taclḥit,shi,1538,4508,42310,2,2240,18,0,34
261,Novial,Novial,nov,1531,4433,178311,2,11429,17,0,144
262,Kikuyu,Gĩkũyũ,ki,1505,3092,20927,1,8533,10,0,7
263,N’Ko,ߒߞߏ,nqo,1481,3236,11313,2,3534,13,0,4
264,Bislama,Bislama,bi,1413,3342,42539,1,12774,9,0,23
265,Tok Pisin,Tok Pisin,tpi,1359,5695,87052,1,13107,15,0,155
266,Tetum,tetun,tet,1351,3806,67568,2,9445,15,0,58
267,Xhosa,isiXhosa,xh,1334,4044,34811,1,12576,18,0,35
268,Aromanian,armãneashti,roa-rup,1333,4380,206924,1,13643,17,0,246
269,Oromo,Oromoo,om,1331,4300,39941,1,10330,21,0,46
270,Lojban,la .lojban.,jbo,1329,5755,112143,1,15926,15,0,216
271,Fijian,Na Vosa Vakaviti,fj,1281,3652,35647,1,8859,12,0,33
272,Lak,лакку,lbe,1268,15225,51463,1,8213,15,0,409
273,Kongo,Kongo,kg,1267,2929,44150,1,10588,11,0,25
274,Tahitian,reo tahiti,ty,1221,3006,53292,1,7247,9,0,37
275,Gun,gungbe,guw,1209,2251,35194,2,997,13,0,11
276,Church Slavic,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,cu,1199,5645,84196,2,24498,22,0,205
277,Taroko,Seediq,trv,1137,2006,93680,1,1590,16,0,27
278,Sranan Tongo,Sranantongo,srn,1119,2743,39391,1,7467,13,0,30
279,Fula,Fulfulde,ff,1105,3555,30992,2,8650,42,0,42
280,Samoan,Gagana Samoa,sm,1076,3350,43130,1,10133,7,0,57
281,Southern Altai,алтай тил,alt,1072,4465,40174,3,2288,13,0,90
282,Guianan Creole,kriyòl gwiyannen,gcr,1064,2622,16967,1,2675,8,0,13
283,Tswana,Setswana,tn,1052,4416,31363,2,9868,12,4,72
284,Cherokee,ᏣᎳᎩ,chr,1051,4144,48337,1,23617,21,0,101
285,Latgalian,latgaļu,ltg,1042,3305,36273,1,7149,19,0,51
286,Madurese,Madhurâ,mad,1036,1878,13414,1,2106,25,0,4
287,Nyanja,Chi-Chewa,ny,1022,4689,41821,3,10227,11,0,114
288,Southern Sotho,Sesotho,st,916,4409,29432,1,10093,20,0,97
289,Norfuk / Pitkern,Norfuk / Pitkern,pih,899,3346,44481,1,11161,14,0,98
290,Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got,872,3822,46459,1,18853,12,0,139
291,Vlax Romani,romani čhib,rmy,863,2935,51495,1,17158,21,0,101
292,Ewe,eʋegbe,ee,832,3694,54968,2,14139,16,0,176
293,Amis,Pangcah,ami,816,1864,38350,1,1597,22,0,33
294,Bambara,bamanankan,bm,796,3232,40851,1,10490,10,0,118
295,Swati,SiSwati,ss,754,2671,39038,3,8146,12,0,94
296,Venda,Tshivenda,ve,748,2257,19870,1,7707,16,0,35
297,Nigerian Pidgin,Naijá,pcm,745,1750,22028,4,966,23,0,22
298,Tsonga,Xitsonga,ts,742,3867,37492,2,9627,13,0,171
299,Cheyenne,Tsetsêhestâhese,chy,698,2242,24671,1,11286,15,0,53
300,Tyap,Tyap,kcg,641,3490,21940,2,951,13,0,124
301,Rundi,ikirundi,rn,633,2516,23449,1,9489,11,0,82
302,Chamorro,Chamoru,ch,554,2518,23508,1,15295,14,0,117
303,Frafra,farefare,gur,550,1391,9009,1,526,23,0,15
304,Inupiaq,Iñupiatun,ik,506,2720,39020,2,8470,11,0,274
305,Pontic,Ποντιακά,pnt,488,2059,35346,1,10054,14,0,177
306,Adyghe,адыгабзэ,ady,477,3475,13226,1,6756,21,0,150
307,Wayuu,wayuunaiki,guc,475,867,12233,1,644,23,0,9
308,Fanti,mfantse,fat,469,1309,8282,2,360,29,0,20
309,Inuktitut,ᐃᓄᒃᑎᑐᑦ / inuktitut,iu,451,3013,46275,2,18488,9,0,495
310,Paiwan,pinayuanan,pwn,332,511,11950,1,1301,7,0,6
311,Dinka,Thuɔŋjäŋ,din,331,1122,8373,1,6090,11,0,42
312,Sango,Sängö,sg,316,1991,20717,2,6357,10,0,292
313,Tigrinya,ትግርኛ,ti,252,2801,24288,2,9097,16,0,887
314,Kalaallisut,kalaallisut,kl,243,2303,74820,3,12956,9,0,2334
315,Dzongkha,ཇོང་ཁ,dz,237,2624,30200,1,9959,9,0,1167
316,Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,cr,163,2196,38383,2,18118,20,0,2718
