,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
0,English,English,en,6671977,58390201,1156307364,898,45730862,117087,905115,1189
1,German,Deutsch,de,2810494,7755162,233223523,180,4172723,17140,127766,93
2,French,français,fr,2530286,12605492,204855286,152,4684236,17667,71219,257
3,Dutch,Nederlands,nl,2124993,4540891,64365222,34,1282663,3859,20,18
4,Russian,русский,ru,1923062,7717296,130862850,72,3406128,10449,243980,153
5,Spanish,español,es,1871425,7932009,151502438,58,6878631,15558,0,200
6,Italian,italiano,it,1815326,7743063,133760845,120,2395488,8088,131030,184
7,Egyptian Arabic,مصرى,arz,1617931,2074722,8157539,7,213007,213,1482,0
8,Polish,polski,pl,1571443,3621384,70481442,100,1244001,4313,260,33
9,Japanese,日本語,ja,1377644,4055412,95485382,41,2083725,14225,4614,88
10,Chinese,中文,zh,1362236,7417198,77443032,66,3359594,8283,63905,206
11,Vietnamese,Tiếng Việt,vi,1284382,19425478,70304597,18,914262,1924,25856,722
12,Ukrainian,українська,uk,1268945,4406847,39667080,51,695167,3667,111722,55
13,Arabic,العربية,ar,1208774,8129457,62790355,21,2436293,4610,51922,253
14,Portuguese,português,pt,1103512,5531671,65904261,53,2934404,8541,59604,191
15,Persian,فارسی,fa,965901,5521970,37284704,36,1228921,6652,85960,150
16,Catalan,català,ca,729783,1821792,31882391,29,452543,1187,12004,39
17,Serbian,српски / srpski,sr,671755,4028623,25895634,17,329109,1032,38074,160
18,Indonesian,Bahasa Indonesia,id,651883,3544603,23686883,44,1412709,3300,48028,131
19,Korean,한국어,ko,638021,3090916,35013893,28,791204,1801,13202,167
20,Norwegian,norsk,no,612321,1757503,23593205,42,583584,1123,4,46
21,Chechen,нохчийн,ce,600101,1188760,10059857,3,34119,65,324,8
22,Finnish,suomi,fi,554521,1451476,21577942,33,548128,1579,73000,38
23,Hungarian,magyar,hu,526605,1508965,26164660,25,535232,1629,8778,60
24,Czech,čeština,cs,526229,1473748,22863055,31,623667,2360,1,50
25,Turkish,Türkçe,tr,525595,2466510,29814405,19,1505920,3219,39079,164
26,Tatar,татарча / tatarça,tt,500286,783216,4078577,6,47011,112,6398,1
27,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,458272,4648244,41416492,8,186420,190,10191,744
28,Romanian,română,ro,440277,2680574,15694703,17,620682,1056,117099,151
29,Min Nan Chinese,Bân-lâm-gú,zh-min-nan,432479,1067642,3170426,6,57971,103,335,6
30,Basque,euskara,eu,412531,865378,9301222,12,149364,460,0,12
31,Malay,Bahasa Melayu,ms,365702,1062188,5866948,17,315614,673,18740,20
32,Esperanto,Esperanto,eo,338194,752530,8139549,16,210756,340,14611,16
33,Hebrew,עברית,he,336281,1423399,36458593,32,1082570,3269,76580,267
34,Armenian,հայերեն,hy,298382,1006327,8710740,11,133515,457,11774,48
35,Danish,dansk,da,292127,926816,11471859,25,457265,723,0,58
36,Bulgarian,български,bg,291830,653378,11809032,25,327060,759,484,27
37,Welsh,Cymraeg,cy,278947,438329,11821923,16,81266,117,11314,8
38,Slovak,slovenčina,sk,245055,559758,7572996,10,235695,611,0,22
39,South Azerbaijani,تۆرکجه,azb,243034,576068,1546014,4,43241,110,301,5
40,Uzbek,oʻzbekcha / ўзбекча,uz,239009,854792,3774197,16,99003,636,2751,29
41,Estonian,eesti,et,237146,561110,6414795,34,180222,593,777,21
42,Kazakh,қазақша,kk,233896,601611,3165847,14,130768,226,10605,13
43,Simple English,Simple English,simple,232135,756211,8867624,18,1317783,1307,36,59
44,Belarusian,беларуская,be,232123,670014,4511212,10,130775,285,3242,23
45,Minangkabau,Minangkabau,min,226755,406415,2614925,5,17654,44,178,4
46,Greek,Ελληνικά,el,223526,655503,10084765,21,394187,1135,19169,57
47,Croatian,hrvatski,hr,215597,452317,6649197,12,295714,573,21456,17
